2016-10-06 17:10:30.8114|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
参数名: commitModel
   在 GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   在 GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   在 GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   在 System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2016-10-06 16:57:17.1090|INFO|thread:29|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 505:GitClient.cs:199 after waiting 0.0001949s
2016-10-06 16:57:17.1090|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 506:RepositoryModel.cs:596
2016-10-06 16:57:17.1090|INFO|thread: 4|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 506:RepositoryModel.cs:596 after waiting 2.96E-05s
2016-10-06 16:57:17.1220|INFO|thread:30|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 507:GitClient.cs:288
2016-10-06 16:57:17.1220|INFO|thread:46|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 507:GitClient.cs:288 after waiting 0.0001101s
2016-10-06 16:57:17.1220|INFO|thread:30|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 508:BranchSynchronizer.cs:126
2016-10-06 16:57:17.1220|INFO|thread:30|AsyncReaderWriterLock|Released concurrent scheduler for operation: 506:RepositoryModel.cs:596 after blocking 0.0123126s
2016-10-06 16:57:17.1220|INFO|thread:30|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 508:BranchSynchronizer.cs:126 after waiting 0.0003352s
2016-10-06 16:57:17.1220|INFO|thread:30|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2016-10-06 16:57:17.1220|INFO|thread:30|AsyncReaderWriterLock|Released concurrent scheduler for operation: 508:BranchSynchronizer.cs:126 after blocking 0.0081394s
2016-10-06 16:57:17.1350|INFO|thread:38|AsyncReaderWriterLock|Released concurrent scheduler for operation: 505:GitClient.cs:199 after blocking 0.0250496s
2016-10-06 16:57:17.1350|INFO|thread:18|GitEnvironment|Process set up with this SSH Agent info: 9704:/tmp/ssh-bmfASbztsMVg/agent.7476
2016-10-06 16:57:17.1350|INFO|thread:18|GitEnvironment|PATH is C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Administrator\AppData\Local\Apps\2.0\4CHC53R5.6QC\CEVOJM71.RDC\gith..tion_317444273a93ac29_0003.0000_a4e55445f6113de2;C:\Users\Administrator\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2016-10-06 16:57:17.1350|INFO|thread:18|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: D:\我的文档\GitHub\githubnew\
2016-10-06 16:57:17.2610|INFO|thread:48|ConcurrentRepositoryConnection|Took 67ms to git status
2016-10-06 16:57:17.2610|INFO|thread:48|ConcurrentRepositoryConnection|Took 67ms to git status and parse output
2016-10-06 16:57:17.2610|INFO|thread:48|NewCommitViewModel|Took 143ms to load files for D:\我的文档\GitHub\githubnew
2016-10-06 16:57:17.2610|INFO|thread:48|AsyncReaderWriterLock|Released concurrent scheduler for operation: 507:GitClient.cs:288 after blocking 0.1434959s
2016-10-06 16:57:17.2610|INFO|thread: 1|NewCommitViewModel|Took 6ms to render file list for D:\我的文档\GitHub\githubnew
2016-10-06 16:57:17.2610|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 509:RepositoryViewModel.cs:325
2016-10-06 16:57:17.2610|INFO|thread:45|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 509:RepositoryViewModel.cs:325 after waiting 3.83E-05s
2016-10-06 16:57:17.2910|INFO|thread:29|AsyncReaderWriterLock|Released concurrent scheduler for operation: 509:RepositoryViewModel.cs:325 after blocking 0.0184095s
2016-10-06 16:57:20.0292|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 510:GitClient.cs:199
2016-10-06 16:57:20.0292|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 510:GitClient.cs:199 after waiting 4.26E-05s
2016-10-06 16:57:20.0292|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 511:RepositoryModel.cs:596
2016-10-06 16:57:20.0292|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 511:RepositoryModel.cs:596 after waiting 0.0006117s
2016-10-06 16:57:20.0422|INFO|thread:32|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 512:GitClient.cs:288
2016-10-06 16:57:20.0422|INFO|thread:32|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 513:BranchSynchronizer.cs:126
